epoch,score_before_B_update,score_after_B_update,score_after_Omega_update,B_contribution,Omega_contribution,total_change,B_improves,Omega_improves,B_worsens,Omega_worsens,B_matrix_changes,Omega_matrix_changes
1,68.94861567761556,10.045523949187693,4.947586937842906,-58.90309172842787,-5.097937011344787,-64.00102873977266,True,True,False,False,5.413403380788016,9.592383230354567
2,4.947586937842906,4.7454288749214975,4.616840508740558,-0.20215806292140837,-0.1285883661809395,-0.33074642910234786,True,True,False,False,1.6307186959038724,5.0855464310815055
3,4.616840508740558,4.5387616810038605,4.534155887799123,-0.0780788277366975,-0.004605793204737196,-0.0826846209414347,True,True,False,False,0.6082520756304299,0.7256694133046234
4,4.534155887799123,4.520174626813411,4.519975429771036,-0.013981260985712396,-0.00019919704237469915,-0.014180458028087095,True,True,False,False,0.173140456125397,0.11213226219490945
5,4.519975429771036,4.733357219591875,4.695287938844498,0.213381789820839,-0.038069280747377476,0.17531250907346152,False,True,True,False,0.7506838848126968,2.182190630517357
6,4.695287938844498,4.6038700467123785,4.570556664596974,-0.09141789213211915,-0.0333133821154048,-0.12473127424752395,True,True,False,False,0.9569314536333241,2.23247989127513
7,4.570556664596974,6.4534177485129085,5.351276695413199,1.8828610839159348,-1.1021410530997091,0.7807200308162257,False,True,True,False,1.4040151462042054,16.24134603068503
8,5.351276695413199,4.925501464886569,4.39761062310599,-0.42577523052663047,-0.5278908417805788,-0.9536660723072092,True,True,False,False,2.4869086361562616,17.50236535764634
9,4.39761062310599,4.652111191432178,4.609854007289197,0.25450056832618806,-0.042257184142981075,0.21224338418320698,False,True,True,False,0.8539052462341372,2.305283683269947
10,4.609854007289197,5.593345682668357,5.1428540251517525,0.9834916753791596,-0.45049165751660425,0.5330000178625554,False,True,True,False,3.172782132128256,14.4602699890421
11,5.1428540251517525,5.911675795825294,5.137988358929845,0.7688217706735418,-0.7736874368954494,-0.004865666221907539,False,True,True,False,4.759214306716318,45.52657835913837
12,5.137988358929845,4.7426408122399195,4.457880985263398,-0.39534754668992544,-0.28475982697652125,-0.6801073736664467,True,True,False,False,2.9667923505754183,18.066790151011045
13,4.457880985263398,4.403884809005025,4.401108913344109,-0.05399617625837294,-0.0027758956609167384,-0.05677207191928968,True,True,False,False,0.14810856505627826,0.03868859207740322
14,4.401108913344109,4.4440833191634574,4.442333865207855,0.04297440581934886,-0.0017494539556022204,0.04122495186374664,False,True,True,False,0.09298132743241519,0.02527435050374725
15,4.442333865207855,5.324476020807712,4.950715965014397,0.8821421555998565,-0.3737600557933147,0.5083820998065418,False,True,True,False,0.7419795819477711,0.5630803963388874
16,4.950715965014397,5.065280648940704,5.05386659230151,0.11456468392630725,-0.011414056639194037,0.10315062728711322,False,True,True,False,1.31636725883539,0.20216781282968252
17,5.05386659230151,5.053854380933272,5.053854380784154,-1.2211368238368436e-05,-1.4911805124029343e-10,-1.2211517356419677e-05,True,True,False,False,0.0009351139090606735,7.442042745164912e-05
18,5.053854380784154,4.765929930099578,4.625051893439641,-0.28792445068457617,-0.14087803665993626,-0.42880248734451243,True,True,False,False,0.5411932439115956,0.624401241129083
