mode,trials,shd_mean,shd_std,shd_median,score_mean,score_std,runtime_mean,runtime_std,mec_rate
single,90,31.144444444444446,11.056099146605705,28.5,57.06732676973665,1.958745479945649,10.651641103332965,3.0860885099938624,0.0
multi_3,90,29.044444444444444,9.724186354121763,29.0,56.38409887095665,1.593352728923317,30.93617955332415,7.380911033130629,0.0
multi_5,90,27.5,10.865107537330351,27.5,56.20449675938624,1.5976988615362964,51.86510096666559,11.852217203687369,0.0
multi_10,90,25.3,10.216147166194721,24.0,55.95477558593202,1.6054870131679575,104.23998777332923,23.378860056835638,0.0
