graph_label,d,calm_degree,n_samples,trial_id,data_seed,algorithm,status,n_edges_true,runtime_sec,message,cpdag_shd,shd,sk_p,sk_r,n_edges_est
50-node ER2,50,2.0,20000,2,201469535,CALM,ok,100,820.0016727999318,,57.0,56.0,0.7747747747747747,0.86,111
50-node ER2,50,2.0,20000,2,201469535,GOLEM-NV-l1,ok,100,54.00613069999963,,128.0,125.0,0.3559322033898305,0.21,59
50-node ER2,50,2.0,20000,2,201469535,NOTEARS,ok,100,750.9522146000527,,30.0,29.0,0.8490566037735849,0.9,106
50-node ER2,50,2.0,20000,2,201469535,PC,ok,100,4.199766899924725,,61.0,,0.8289473684210527,0.63,94
50-node ER2,50,2.0,20000,2,201469535,FGES,ok,100,4.395457400009036,,1.0,,0.9900990099009901,1.0,110
50-node ER2,50,2.0,20000,2,201469535,cd_A,ok,100,336.4361550998874,,100.0,95.0,0.5576923076923077,0.58,104
50-node ER2,50,2.0,20000,2,201469535,cd_A_weakfaith,ok,100,323.7998202999588,,47.0,40.0,0.9024390243902439,0.74,82
50-node ER2,50,2.0,20000,3,94177347,CALM,ok,100,836.6732002999634,,65.0,64.0,0.7383177570093458,0.79,107
50-node ER2,50,2.0,20000,3,94177347,GOLEM-NV-l1,ok,100,56.71167839993723,,146.0,146.0,0.2876712328767123,0.21,73
50-node ER2,50,2.0,20000,3,94177347,NOTEARS,ok,100,955.0068581001833,,48.0,45.0,0.7459016393442623,0.91,122
50-node ER2,50,2.0,20000,3,94177347,PC,ok,100,4.1909047001972795,,72.0,,0.7662337662337663,0.59,88
50-node ER2,50,2.0,20000,3,94177347,FGES,ok,100,9.664359400048852,,350.0,,0.2375296912114014,1.0,429
50-node ER2,50,2.0,20000,3,94177347,cd_A,ok,100,362.66435010009445,,115.0,114.0,0.49523809523809526,0.52,105
50-node ER2,50,2.0,20000,3,94177347,cd_A_weakfaith,ok,100,330.4419129998423,,57.0,55.0,0.8375,0.67,80
50-node ER2,50,2.0,20000,4,526478978,CALM,ok,100,892.717485900037,,46.0,47.0,0.8252427184466019,0.85,103
50-node ER2,50,2.0,20000,4,526478978,GOLEM-NV-l1,ok,100,52.58145059994422,,153.0,148.0,0.28,0.21,75
50-node ER2,50,2.0,20000,4,526478978,NOTEARS,ok,100,766.4142621001229,,16.0,15.0,0.912621359223301,0.94,103
50-node ER2,50,2.0,20000,4,526478978,PC,ok,100,4.336522900033742,,61.0,,0.8507462686567164,0.57,95
50-node ER2,50,2.0,20000,4,526478978,FGES,ok,100,9.021351000061259,,77.0,,0.6470588235294118,0.99,161
50-node ER2,50,2.0,20000,4,526478978,cd_A,ok,100,381.7789346999489,,84.0,78.0,0.6410256410256411,0.75,117
50-node ER2,50,2.0,20000,4,526478978,cd_A_weakfaith,ok,100,344.21643140004016,,35.0,33.0,0.8865979381443299,0.86,97
50-node ER2,50,2.0,20000,5,975622351,CALM,ok,100,784.5222151000053,,44.0,40.0,0.8151260504201681,0.97,119
50-node ER2,50,2.0,20000,5,975622351,GOLEM-NV-l1,ok,100,54.756223700009286,,145.0,145.0,0.3150684931506849,0.23,73
50-node ER2,50,2.0,20000,5,975622351,NOTEARS,ok,100,831.3500403000508,,53.0,52.0,0.6888888888888889,0.93,135
50-node ER2,50,2.0,20000,5,975622351,PC,ok,100,4.243150800000876,,71.0,,0.7469879518072289,0.62,95
50-node ER2,50,2.0,20000,5,975622351,FGES,ok,100,8.249126399867237,,162.0,,0.4117647058823529,0.98,242
50-node ER2,50,2.0,20000,5,975622351,cd_A,ok,100,348.3107374999672,,71.0,70.0,0.7272727272727273,0.56,77
50-node ER2,50,2.0,20000,5,975622351,cd_A_weakfaith,ok,100,328.35971119999886,,28.0,26.0,0.9753086419753086,0.79,81
50-node ER4,50,4.0,20000,1,735752370,CALM,ok,200,936.2182354000397,,180.0,177.0,0.6030150753768844,0.6,199
50-node ER4,50,4.0,20000,1,735752370,GOLEM-NV-l1,ok,200,55.22333710012026,,240.0,235.0,0.3783783783783784,0.21,111
50-node ER4,50,4.0,20000,1,735752370,NOTEARS,ok,200,2614.2421389000956,,102.0,99.0,0.7224489795918367,0.885,245
50-node ER4,50,4.0,20000,1,735752370,PC,ok,200,4.2851784999947995,,208.0,,0.576271186440678,0.17,73
50-node ER4,50,4.0,20000,1,735752370,FGES,ok,200,28.727755500003695,,625.0,,0.2595019659239843,0.99,766
50-node ER4,50,4.0,20000,1,735752370,cd_A,ok,200,520.4486140999943,,441.0,438.0,0.25862068965517243,0.6,464
50-node ER4,50,4.0,20000,1,735752370,cd_A_weakfaith,ok,200,379.8099885999691,,151.0,150.0,0.6519607843137255,0.665,204
50-node ER4,50,4.0,20000,2,761139701,CALM,ok,200,898.7920423001051,,146.0,140.0,0.6743119266055045,0.735,218
50-node ER4,50,4.0,20000,2,761139701,GOLEM-NV-l1,ok,200,54.959321700036526,,277.0,276.0,0.2830188679245283,0.225,159
50-node ER4,50,4.0,20000,2,761139701,NOTEARS,ok,200,2839.973427399993,,116.0,117.0,0.6788617886178862,0.835,246
50-node ER4,50,4.0,20000,2,761139701,PC,ok,200,4.396789000136778,,192.0,,0.7258064516129032,0.225,74
50-node ER4,50,4.0,20000,2,761139701,FGES,ok,200,42.03123870003037,,771.0,,0.22351571594877764,0.96,860
50-node ER4,50,4.0,20000,2,761139701,cd_A,ok,200,493.28008579998277,,459.0,460.0,0.22573363431151242,0.5,443
50-node ER4,50,4.0,20000,2,761139701,cd_A_weakfaith,ok,200,324.9080086001195,,157.0,157.0,0.645320197044335,0.655,203
