algorithm,mec_match_mean,exact_match_mean,cpdag_shd_mean,cpdag_shd_std,runtime_sec_mean,runtime_sec_std
cd_A,0.6,0.6,1.1,1.728840330651992,0.9787966499978211,0.06527607208341876
cd_B,0.6,0.6,0.9,1.3703203194062976,0.7376408199954312,0.03490159154071238
cd_BOmega,0.6,0.6,0.9,1.3703203194062976,0.8142599799990421,0.03770899948526582
