d,degree,shd_mean,shd_std,shd_min,shd_max,n_edges_true,n_edges_est,runtime_sec,trials
20,1.0,4.6,1.9841477024816367,1.0,7.0,9.75,14.4,2.7954047250095755,20
20,2.0,4.85,2.158825216591069,2.0,8.0,20.1,24.95,3.1500229550292715,20
20,3.0,18.15,20.48433290924657,2.0,71.0,28.55,43.7,3.737307834997773,20
20,4.0,33.2,26.108276566314327,3.0,89.0,38.65,65.75,3.995322585012764,20
30,1.0,8.5,2.781517949836592,4.0,14.0,16.75,25.0,5.45006206005346,20
30,2.0,10.65,7.0731144037418945,3.0,34.0,30.0,40.0,5.451330145006068,20
30,3.0,23.3,32.5965771532114,2.0,107.0,44.4,64.3,5.58328088496346,20
30,4.0,44.8,39.02307009962184,3.0,128.0,58.45,96.35,5.307209424977191,20
40,1.0,11.6,3.0504529430716905,6.0,17.0,18.8,30.8,6.3702796950005,20
40,2.0,12.0,5.515528318445926,6.0,27.0,39.9,51.1,5.5173865900374945,20
40,3.0,16.75,14.635483197388895,5.0,59.0,58.75,74.0,5.398976134997793,20
40,4.0,81.15,79.8335604142835,4.0,244.0,79.6,150.3,6.6436954400269315,20
50,1.0,14.6,3.830624519647719,7.0,21.0,24.85,39.75,6.6544122250983495,20
50,2.0,15.35,7.485248651075062,9.0,44.0,49.65,64.45,6.392951355036348,20
50,3.0,26.5,27.567142913640012,6.0,87.0,74.45,98.0,6.626280605024658,20
50,4.0,90.1,103.52670644509281,5.0,460.0,100.3,179.35,8.066503924992867,20
