n_samples,score,trials,cpdag_shd_mean,cpdag_shd_std,shd_mean,shd_std,sk_p_mean,sk_p_std,sk_r_mean,sk_r_std,n_edges_est_mean,n_edges_true_mean,actual_T_mean,runtime_sec_mean,lambda_eff_mean
2000,bic,10,40.7,18.756036065461405,39.7,17.062304129929878,0.8079846052040182,0.07765751896353258,0.943,0.04595891885393108,117.4,100.0,468427.5,370.8241127899848,0.003800451229771041
2000,l0,10,38.5,17.639916855435192,37.9,15.19831862045565,0.8525474203325102,0.07358177184755904,0.8699999999999999,0.06018490028422597,102.4,100.0,469212.5,363.2329950199695,0.2
20000,bic,10,33.8,15.112908389850048,31.3,14.314328485821472,0.8453009488637022,0.07135677615513482,0.95,0.04853406592853679,112.8,100.0,445437.5,333.5120419500163,0.0004951743776268064
20000,l0,10,32.8,11.72651316935734,31.2,10.591401124392267,0.8733692848327668,0.05416663740859135,0.898,0.05940445175985457,103.0,100.0,456315.0,347.01680229001215,0.2
