graph_label,d,calm_degree,noise_ratio,n_samples,trial_id,data_seed,algorithm,status,n_edges_true,runtime_sec,message,cpdag_shd,sk_p,sk_r,n_edges_est
50-node ER1,50,1.0,16.0,20000,2,201469535,CALM,ok,50,169.90646440000273,,53.0,0.875,0.56,32
50-node ER1,50,1.0,16.0,20000,2,201469535,GOLEM-NV-l1,ok,50,65.54784739995375,,108.0,0.2682926829268293,0.22,41
50-node ER1,50,1.0,16.0,20000,2,201469535,NOTEARS,ok,50,1108.0839298998471,,5.0,0.9607843137254902,0.98,51
50-node ER1,50,1.0,16.0,20000,2,201469535,PC,ok,50,3.3368879000190645,,32.0,1.0,0.92,62
50-node ER1,50,1.0,16.0,20000,2,201469535,FGES,ok,50,3.5067797999363393,,32.0,0.8928571428571429,1.0,69
50-node ER1,50,1.0,16.0,20000,2,201469535,cd_A,ok,50,65.2377563000191,,132.0,0.4675324675324675,0.72,77
50-node ER1,50,1.0,16.0,20000,2,201469535,cd_A_weakfaith,ok,50,61.1210429999046,,11.0,0.9411764705882353,0.96,51
50-node ER1,50,1.0,16.0,20000,3,94177347,CALM,ok,50,144.98892000014894,,57.0,0.8333333333333334,0.6,36
50-node ER1,50,1.0,16.0,20000,3,94177347,GOLEM-NV-l1,ok,50,53.11411730013788,,121.0,0.38333333333333336,0.46,60
50-node ER1,50,1.0,16.0,20000,3,94177347,NOTEARS,ok,50,1822.3143545999192,,34.0,0.8148148148148148,0.88,54
50-node ER1,50,1.0,16.0,20000,3,94177347,PC,ok,50,3.585915699834004,,6.0,0.9433962264150944,1.0,62
50-node ER1,50,1.0,16.0,20000,3,94177347,FGES,ok,50,3.3046079999767244,,7.0,0.9259259259259259,1.0,62
50-node ER1,50,1.0,16.0,20000,3,94177347,cd_A,ok,50,66.31236659991555,,89.0,0.6438356164383562,0.94,73
50-node ER1,50,1.0,16.0,20000,3,94177347,cd_A_weakfaith,ok,50,63.005225399974734,,4.0,0.98,0.98,50
50-node ER1,50,1.0,16.0,20000,4,526478978,CALM,ok,50,142.5766032000538,,52.0,0.9310344827586207,0.54,29
50-node ER1,50,1.0,16.0,20000,4,526478978,GOLEM-NV-l1,ok,50,58.12686100020073,,98.0,0.5135135135135135,0.38,37
50-node ER1,50,1.0,16.0,20000,4,526478978,NOTEARS,ok,50,595.900177600095,,9.0,0.9411764705882353,0.96,51
50-node ER1,50,1.0,16.0,20000,4,526478978,PC,ok,50,3.383009400218725,,9.0,1.0,0.98,60
50-node ER1,50,1.0,16.0,20000,4,526478978,FGES,ok,50,3.6822344998363405,,18.0,0.9259259259259259,1.0,63
50-node ER1,50,1.0,16.0,20000,4,526478978,cd_A,ok,50,63.767110500019044,,64.0,0.7368421052631579,0.84,57
50-node ER1,50,1.0,16.0,20000,4,526478978,cd_A_weakfaith,ok,50,59.772851600078866,,20.0,0.9387755102040817,0.92,49
50-node ER1,50,1.0,16.0,20000,5,975622351,CALM,ok,50,143.3658557999879,,43.0,0.9655172413793104,0.56,29
50-node ER1,50,1.0,16.0,20000,5,975622351,GOLEM-NV-l1,ok,50,59.579459300031886,,91.0,0.4,0.28,35
50-node ER1,50,1.0,16.0,20000,5,975622351,NOTEARS,ok,50,477.59035149984993,,5.0,0.9615384615384616,1.0,52
50-node ER1,50,1.0,16.0,20000,5,975622351,PC,ok,50,3.648012900026515,,5.0,1.0,0.98,57
50-node ER1,50,1.0,16.0,20000,5,975622351,FGES,ok,50,3.3201862999703735,,9.0,0.9259259259259259,1.0,63
50-node ER1,50,1.0,16.0,20000,5,975622351,cd_A,ok,50,63.25736490008421,,48.0,0.7049180327868853,0.86,61
50-node ER1,50,1.0,16.0,20000,5,975622351,cd_A_weakfaith,ok,50,60.64653469994664,,10.0,1.0,0.94,47
