noise_ratio,algorithm,trials,cpdag_shd_mean,cpdag_shd_std,sk_p_mean,sk_p_std,sk_r_mean,sk_r_std,n_edges_est_mean,n_edges_true_mean,runtime_sec_mean
4.0,CALM,5,8.2,5.263078946776307,0.9336813944472102,0.03644517150369231,0.9960000000000001,0.008944271909999166,53.4,50.0,1378.011419599969
4.0,GOLEM-NV-l1,5,93.8,10.034938963441682,0.4798090366581415,0.03744660772312836,0.43200000000000005,0.041472882706655445,45.4,50.0,59.860666600009424
4.0,NOTEARS,5,6.4,6.348228099241551,0.958048433048433,0.05296124073649389,0.968,0.036331804249169916,50.6,50.0,195.04140205997973
4.0,PC,5,12.8,9.23038460737146,0.9841568627450981,0.016687645389644408,0.9800000000000001,0.020000000000000018,65.0,50.0,4.612517980020494
4.0,FGES,5,12.8,4.868264577855234,0.9440687359666272,0.028185299427934598,1.0,0.0,65.2,50.0,4.915383339952678
4.0,cd_A,5,51.8,11.562871615649808,0.7859759103358558,0.11108188084847885,0.664,0.016733200530681534,42.8,50.0,351.34313687998804
4.0,cd_A_weakfaith,5,16.6,9.126883367283709,0.986855791962175,0.01977467536869916,0.86,0.08124038404635961,43.6,50.0,338.38415994001554
8.0,CALM,5,10.8,6.906518659932803,0.9180739222507661,0.05247017052641753,0.9960000000000001,0.008944271909999166,54.4,50.0,999.9281244799961
8.0,GOLEM-NV-l1,5,100.6,14.724129855444769,0.4143974043974044,0.09806046250043642,0.34,0.10488088481701516,41.2,50.0,60.97235827990808
8.0,NOTEARS,5,23.4,10.784247771634329,0.8673876457144092,0.06800725551690433,0.9199999999999999,0.03162277660168376,53.2,50.0,258.6836816600524
8.0,PC,5,13.2,9.833615815151616,0.9886792452830189,0.02531397710377119,0.976,0.021908902300206673,61.4,50.0,4.4982668599579485
8.0,FGES,5,15.4,10.16366075781753,0.9193121693121693,0.014788809374998576,1.0,0.0,64.6,50.0,4.524324500001967
8.0,cd_A,5,56.0,13.285330255586423,0.7487282325517619,0.11764029563002952,0.6599999999999999,0.11575836902790225,44.2,50.0,373.27518965997734
8.0,cd_A_weakfaith,5,20.6,3.974921382870358,0.9701642953074352,0.035351999396442554,0.86,0.04690415759823429,44.4,50.0,361.9922522799112
16.0,CALM,5,18.8,13.845576911057192,0.901148361442479,0.05418966921537782,0.968,0.030331501776206183,53.8,50.0,1190.98766338001
16.0,GOLEM-NV-l1,5,100.2,8.84307638777366,0.4225700337018622,0.04441804593489158,0.388,0.08786353054595519,46.0,50.0,59.43181536002085
16.0,NOTEARS,5,36.0,18.774983355518586,0.818423944476576,0.07648560750019301,0.9199999999999999,0.04472135954999577,56.4,50.0,346.83236578004437
16.0,PC,5,21.4,7.231873892705818,0.9794011264080099,0.015064041870538473,0.9640000000000001,0.04335896677735762,67.4,50.0,4.4183450000360605
16.0,FGES,5,27.4,25.6865723676788,0.9162760775664001,0.0639238198775409,1.0,0.0,69.6,50.0,4.492123700026423
16.0,cd_A,5,63.0,27.829840100151493,0.7315016183231287,0.12306708114121293,0.6599999999999999,0.06782329983125264,46.0,50.0,385.5016459000297
16.0,cd_A_weakfaith,5,24.0,7.874007874011811,0.9704545454545455,0.054260619937787836,0.808,0.06870225614927067,41.8,50.0,366.9843859799672
