graph_label,algorithm,trials,cpdag_shd_mean,cpdag_shd_std,shd_mean,shd_std,sk_p_mean,sk_p_std,sk_r_mean,sk_r_std,n_edges_est_mean,n_edges_true_mean,runtime_sec_mean
50-node ER1,CALM,5,10.0,5.0,15.0,4.123105625617661,0.9331962764903942,0.034543790909541155,0.9879999999999999,0.017888543819998343,53.0,50.0,821.6780171200168
50-node ER1,GOLEM-NV-l1,5,71.4,4.774934554525329,73.2,3.193743884534263,0.45426542437305895,0.02958287449555638,0.44800000000000006,0.030331501776206193,49.4,50.0,56.1609194799792
50-node ER1,NOTEARS,5,11.0,3.6742346141747673,10.8,4.147288270665544,0.8935347120486439,0.04402185854474532,0.96,0.024494897427831744,53.8,50.0,224.1182860800065
50-node ER1,PC,5,2.6,2.5099800796022267,,,0.988156862745098,0.01081244103796823,0.984,0.016733200530681527,65.0,50.0,4.319479520013556
50-node ER1,FGES,5,4.2,2.04939015319192,,,0.9475627960644608,0.026400250228250172,1.0,0.0,65.6,50.0,4.112691720016301
50-node ER1,cd_A,5,35.8,4.658325879540847,35.4,4.159326868617085,0.7573845960524961,0.050809654518054734,0.6719999999999999,0.033466401061363,44.6,50.0,328.1215565599967
50-node ER1,cd_A_weakfaith,5,18.2,4.54972526643093,16.0,4.123105625617661,0.9539989893181383,0.02704707805929199,0.8320000000000001,0.07823042886243183,43.6,50.0,322.33076685997656
50-node ER2,CALM,5,54.6,9.235799911215056,52.4,9.181503144910424,0.7868326110073711,0.034686182202978644,0.8720000000000001,0.06572670690061991,110.8,100.0,833.6964328400325
50-node ER2,GOLEM-NV-l1,5,139.6,11.928956366757317,137.2,12.597618822618822,0.33625897604738,0.06647407152631413,0.22599999999999998,0.026076809620810597,68.2,100.0,54.16982763996348
50-node ER2,NOTEARS,5,34.6,15.485477067239485,33.0,15.215124054702938,0.8126270315793407,0.09220855081959911,0.9179999999999999,0.016431676725154942,114.2,100.0,875.5698530200868
50-node ER2,PC,5,66.4,5.272570530585626,,,0.8024719599126418,0.04390644374159952,0.6,0.024494897427831796,90.2,100.0,4.215732180001214
50-node ER2,FGES,5,126.0,138.6488369947617,,,0.6156904461048313,0.29868129779403707,0.992,0.008366600265340763,214.4,100.0,7.464773540012539
50-node ER2,cd_A,5,97.8,20.364184245876388,94.8,20.96902477465273,0.5785314685314685,0.10591573404665725,0.6140000000000001,0.09154233993076646,108.6,100.0,355.30600635996086
50-node ER2,cd_A_weakfaith,5,41.2,11.189280584559492,37.6,10.92245393673052,0.8951059630072397,0.050832982509674184,0.778,0.07529940238806677,87.0,100.0,332.2889337599743
50-node ER4,CALM,5,127.2,65.78145635359557,125.2,64.11474089474277,0.708230494257462,0.12154191573292787,0.729,0.19308029417835473,203.4,200.0,873.3030719800387
50-node ER4,GOLEM-NV-l1,5,260.8,14.289856542317,258.6,15.630099167951558,0.3089572995246385,0.0424164430265422,0.202,0.05426785420486055,131.0,200.0,53.699638100015
50-node ER4,NOTEARS,5,103.6,19.007893097342485,103.4,20.23116407921205,0.7104827562020802,0.046378606753436157,0.861,0.02987473849257933,242.8,200.0,2227.249495039973
50-node ER4,PC,5,194.4,8.080841540334772,,,0.685613150963855,0.06859981887631443,0.225,0.04808846015417837,78.2,200.0,3.9591856599785387
50-node ER4,FGES,5,672.2,65.52633058549823,,,0.2455537003494796,0.01729959363910225,0.968,0.013509256086106307,793.2,200.0,36.458430679980665
50-node ER4,cd_A,5,424.6,79.62914039470726,424.0,80.05310737254364,0.269988509453452,0.05437100019145786,0.5820000000000001,0.051550945675128024,441.0,200.0,446.69925552001223
50-node ER4,cd_A_weakfaith,5,149.4,34.536936748935915,149.2,34.01029255975314,0.6658871496036718,0.07758008489799241,0.659,0.07223226425912456,198.6,200.0,320.37254956001414
