noise_ratio,d,n_samples,algorithm,trials,mec_match_mean,shd_mean,shd_std,cpdag_shd_mean,cpdag_shd_std,precision_mean,recall_mean,f1_mean,n_edges_true_mean,n_edges_est_mean,runtime_sec_mean,runtime_sec_std,failures
0.5,5,200,notears,1,1.0,0.0,,0.0,,1.0,1.0,1.0,6.0,6.0,1.8975759000750259,,0
1.0,5,200,notears,1,1.0,0.0,,0.0,,1.0,1.0,1.0,6.0,6.0,2.5165018999250606,,0
