graph_label,algorithm,trials,cpdag_shd_mean,cpdag_shd_std,shd_mean,shd_std,sk_p_mean,sk_p_std,sk_r_mean,sk_r_std,n_edges_est_mean,n_edges_true_mean,runtime_sec_mean
50-node ER1,CALM,5,11.4,5.412947441089743,15.4,4.09878030638384,0.9231610850272108,0.043388286727782915,0.984,0.021908902300206676,53.4,50.0,1301.6528859399725
50-node ER1,GOLEM-NV-l1,5,68.4,6.841052550594827,71.2,5.805170109479997,0.4772062759266693,0.04668615640078718,0.43600000000000005,0.05899152481501049,46.0,50.0,27.728269759984688
50-node ER1,NOTEARS,5,15.4,5.029910535983717,13.4,6.767569726275452,0.8747475879240586,0.06840364444826556,0.944,0.021908902300206593,54.2,50.0,35.35875180000439
50-node ER1,PC,5,7.8,4.604345773288535,,,0.9873188405797102,0.018739276146356152,0.924,0.02607680962081059,63.6,50.0,0.8402470599859952
50-node ER1,FGES,5,25.8,9.984988733093292,,,0.7619190590793025,0.0782158906790859,1.0,0.0,74.2,50.0,1.054684259975329
50-node ER1,cd_A,5,39.8,4.969909455915671,39.4,4.03732584763727,0.7262206320159506,0.05403223344744503,0.6439999999999999,0.03847076812334268,44.6,50.0,338.3614710599184
50-node ER1,cd_A_weakfaith,5,19.8,7.259476565152615,17.8,6.906518659932803,0.9406067861881816,0.0435051211491994,0.792,0.08786353054595515,42.0,50.0,347.28567305998877
50-node ER2,CALM,5,60.2,8.87130204648675,58.4,8.96102672688794,0.7611844685559441,0.04838864340358723,0.8400000000000001,0.05147815070493498,110.6,100.0,1084.5445230199955
50-node ER2,GOLEM-NV-l1,5,141.4,7.668115805072329,140.2,6.418722614352482,0.31215187259227556,0.030478675606678038,0.21399999999999997,0.03507135583350036,68.4,100.0,25.006619099946693
50-node ER2,NOTEARS,5,39.8,8.899438184514796,37.6,10.922453936730518,0.7815382103116538,0.06247716931770574,0.9099999999999999,0.020000000000000014,117.0,100.0,123.74787703999318
50-node ER2,PC,5,69.4,4.449719092257396,,,0.8662019961534042,0.03082659237593862,0.524,0.051283525619832335,79.4,100.0,0.7839796599932015
50-node ER2,FGES,5,85.0,54.48853090330111,,,0.6310443423041407,0.16417664074973903,0.962,0.04711687595755896,169.0,100.0,2.374665159964934
50-node ER2,cd_A,5,99.6,16.410362579784763,98.0,16.911534525287763,0.5620612931097301,0.07840993991201117,0.612,0.08467585252006618,110.8,100.0,420.29365926003084
50-node ER2,cd_A_weakfaith,5,57.0,15.811388300841896,52.6,15.962455951387932,0.8274063655497116,0.08888342412993093,0.73,0.08602325267042629,88.6,100.0,381.0330611000769
50-node ER4,CALM,5,157.0,41.24924241728568,155.6,41.848536414073074,0.6391606561968214,0.0700813838387252,0.658,0.14493964261029488,204.2,200.0,1569.8737422999461
50-node ER4,GOLEM-NV-l1,5,261.0,13.190905958272916,259.2,13.553597308463907,0.3060980340781018,0.05426784306483534,0.20400000000000001,0.06570768600399805,132.0,200.0,28.788385679991915
50-node ER4,NOTEARS,5,114.4,9.762171889492624,114.0,10.535653752852738,0.6807692242927217,0.019667285281959847,0.8550000000000001,0.03622844186547364,251.2,200.0,399.91274960003796
50-node ER4,PC,5,192.8,7.120393247567156,,,0.7195480093676816,0.05729509994230137,0.188,0.034022051672408,66.0,200.0,0.7352720799855887
50-node ER4,FGES,5,479.8,43.75157140035087,,,0.3056166085165447,0.02318065828205469,0.868,0.04009364039345892,570.6,200.0,17.66142255999148
50-node ER4,cd_A,5,431.4,71.5632587296023,430.4,72.24472299067939,0.2659710526461384,0.045903347039698825,0.583,0.04324349662087929,447.2,200.0,552.8201696599368
50-node ER4,cd_A_weakfaith,5,196.6,40.395544308747716,195.2,40.80686216802267,0.5480000088934941,0.09758316016767803,0.613,0.047644516998286375,228.2,200.0,417.6649419799913
