noise_ratio,d,n_samples,trial_id,seed,algorithm,status,mec_match,shd,cpdag_shd,precision,recall,f1,n_edges_true,n_edges_est,runtime_sec,message
0.5,5,200,1,89250953,notears,ok,1,0.0,0.0,1.0,1.0,1.0,6,6,1.8975759000750259,
1.0,5,200,1,89250953,notears,ok,1,0.0,0.0,1.0,1.0,1.0,6,6,2.5165018999250606,
