graph_label,algorithm,SHD of CPDAG,Precision of Skeleton,Recall of Skeleton,SHD
50-node ER1,CALM,43.8 ± 8.2,0.97 ± 0.03,0.53 ± 0.06,n/a
50-node ER1,GOLEM-NV-l1,99.0 ± 11.4,0.45 ± 0.03,0.45 ± 0.03,n/a
50-node ER1,NOTEARS,12.4 ± 11.1,0.93 ± 0.05,0.99 ± 0.01,n/a
50-node ER1,PC,10.4 ± 6.4,0.99 ± 0.01,0.98 ± 0.02,-
50-node ER1,FGES,13.0 ± 4.7,0.95 ± 0.03,1.00 ± 0.00,n/a
50-node ER1,cd_A,62.6 ± 7.5,0.69 ± 0.02,0.79 ± 0.05,n/a
50-node ER1,cd_A_weakfaith,15.4 ± 7.4,0.95 ± 0.02,0.92 ± 0.05,n/a
50-node ER4,CALM,651.8 ± 27.8,1.00 ± 0.00,0.01 ± 0.01,n/a
50-node ER4,GOLEM-NV-l1,965.0 ± 103.2,0.33 ± 0.04,0.24 ± 0.07,n/a
50-node ER4,NOTEARS,495.6 ± 292.5,0.74 ± 0.11,0.89 ± 0.04,n/a
50-node ER4,PC,660.2 ± 29.8,0.70 ± 0.08,0.22 ± 0.05,-
50-node ER4,FGES,3309.8 ± 573.3,0.25 ± 0.04,0.96 ± 0.02,n/a
50-node ER4,cd_A,5415.8 ± 580.9,0.23 ± 0.01,0.76 ± 0.02,n/a
50-node ER4,cd_A_weakfaith,1095.8 ± 346.4,0.58 ± 0.10,0.79 ± 0.03,n/a
