noise_ratio,algorithm,trials,cpdag_shd_mean,cpdag_shd_std,sk_p_mean,sk_p_std,sk_r_mean,sk_r_std,n_edges_est_mean,n_edges_true_mean,runtime_sec_mean
4.0,CALM,5,41.4,5.319774431308154,0.98098223615465,0.02763050178648007,0.54,0.05830951894845303,27.6,50.0,152.42099629999137
4.0,GOLEM-NV-l1,5,93.8,10.034938963441682,0.4798090366581415,0.03744660772312836,0.43200000000000005,0.041472882706655445,45.4,50.0,59.39996050000191
4.0,NOTEARS,5,2.4,2.8809720581775866,0.9809869375907112,0.02681321695536599,1.0,0.0,51.0,50.0,422.1891689600423
4.0,PC,5,12.8,9.23038460737146,0.9841568627450981,0.016687645389644408,0.9800000000000001,0.020000000000000018,65.0,50.0,4.2280659201089295
4.0,FGES,5,12.8,4.868264577855234,0.9440687359666272,0.028185299427934598,1.0,0.0,65.2,50.0,3.930422759987414
4.0,cd_A,5,57.0,17.790446874657196,0.7101078582434515,0.08446824180171505,0.8119999999999999,0.06418722614352484,57.4,50.0,66.06922264001332
4.0,cd_A_weakfaith,5,8.6,9.208691546577072,0.9676702681072429,0.0309789963720787,0.9640000000000001,0.04098780306383838,49.8,50.0,68.69781889999285
16.0,CALM,5,53.0,6.442049363362563,0.9098659003831419,0.05434547168950531,0.52,0.10295630140986999,28.8,50.0,152.04546648003162
16.0,GOLEM-NV-l1,5,99.8,15.417522498767433,0.4185834615102908,0.10619598413296755,0.34400000000000003,0.09423375191511797,41.8,50.0,59.086258300067854
16.0,NOTEARS,5,17.0,14.713938969562161,0.9138446303152186,0.06236587254663296,0.96,0.0469041575982343,52.6,50.0,881.6367434199434
16.0,PC,5,12.4,11.148990985734986,0.9886792452830189,0.02531397710377119,0.9719999999999999,0.030331501776206183,61.6,50.0,3.7053451400250195
16.0,FGES,5,15.0,10.41633332799983,0.9228062294100031,0.018371807757232027,1.0,0.0,64.4,50.0,3.4906732599716634
16.0,cd_A,5,79.0,33.1058907144937,0.6615028373866295,0.11632368087813803,0.844,0.07924645102463579,65.0,50.0,65.4375227200333
16.0,cd_A_weakfaith,5,10.2,6.180614856144977,0.9679087635054021,0.02681371660330587,0.952,0.02280350850198278,49.2,50.0,62.16617089998908
