graph_label,d,calm_degree,noise_ratio,n_samples,trial_id,data_seed,algorithm,status,n_edges_true,runtime_sec,message,cpdag_shd,sk_p,sk_r,n_edges_est
50-node ER1,50,1.0,4.0,20000,1,89250953,CALM,ok,50,1475.3020625999197,,11.0,0.9090909090909091,1.0,55
50-node ER1,50,1.0,4.0,20000,1,89250953,GOLEM-NV-l1,ok,50,58.95249500009231,,81.0,0.5,0.46,46
50-node ER1,50,1.0,4.0,20000,1,89250953,NOTEARS,ok,50,190.66540979989804,,9.0,0.9583333333333334,0.92,48
50-node ER1,50,1.0,4.0,20000,1,89250953,PC,ok,50,6.747999999905005,,7.0,1.0,0.98,62
50-node ER1,50,1.0,4.0,20000,1,89250953,FGES,ok,50,4.630776599980891,,18.0,0.9090909090909091,1.0,68
50-node ER1,50,1.0,4.0,20000,1,89250953,cd_A,ok,50,359.4456726999488,,54.0,0.717391304347826,0.66,46
50-node ER1,50,1.0,4.0,20000,1,89250953,cd_A_weakfaith,ok,50,348.0647947001271,,9.0,1.0,0.9,45
50-node ER1,50,1.0,4.0,20000,2,773956048,CALM,ok,50,2166.666654499946,,12.0,0.8928571428571429,1.0,56
50-node ER1,50,1.0,4.0,20000,2,773956048,GOLEM-NV-l1,ok,50,75.61983840004541,,94.0,0.5294117647058824,0.36,34
50-node ER1,50,1.0,4.0,20000,2,773956048,NOTEARS,ok,50,108.37323169992305,,5.0,0.9615384615384616,1.0,52
50-node ER1,50,1.0,4.0,20000,2,773956048,PC,ok,50,3.3211973002180457,,2.0,0.9803921568627451,1.0,63
50-node ER1,50,1.0,4.0,20000,2,773956048,FGES,ok,50,4.246802799869329,,8.0,0.9433962264150944,1.0,62
50-node ER1,50,1.0,4.0,20000,2,773956048,cd_A,ok,50,312.6778351999819,,37.0,0.9444444444444444,0.68,36
50-node ER1,50,1.0,4.0,20000,2,773956048,cd_A_weakfaith,ok,50,305.6132539999671,,31.0,1.0,0.72,36
50-node ER1,50,1.0,4.0,20000,3,654571518,CALM,ok,50,1185.869981299853,,3.0,0.9615384615384616,1.0,52
50-node ER1,50,1.0,4.0,20000,3,654571518,GOLEM-NV-l1,ok,50,52.988880099961534,,102.0,0.4782608695652174,0.44,46
50-node ER1,50,1.0,4.0,20000,3,654571518,NOTEARS,ok,50,214.721580500016,,16.0,0.8703703703703703,0.94,54
50-node ER1,50,1.0,4.0,20000,3,654571518,PC,ok,50,3.398892099969089,,19.0,1.0,0.96,65
50-node ER1,50,1.0,4.0,20000,3,654571518,FGES,ok,50,4.323283799923956,,18.0,0.9615384615384616,1.0,69
50-node ER1,50,1.0,4.0,20000,3,654571518,cd_A,ok,50,333.9738427998964,,48.0,0.7857142857142857,0.66,42
50-node ER1,50,1.0,4.0,20000,3,654571518,cd_A_weakfaith,ok,50,324.45898820017464,,10.0,1.0,0.9,45
50-node ER1,50,1.0,4.0,20000,4,438878439,CALM,ok,50,1206.8638328001834,,13.0,0.9245283018867925,0.98,53
50-node ER1,50,1.0,4.0,20000,4,438878439,GOLEM-NV-l1,ok,50,55.12710170005448,,105.0,0.43137254901960786,0.44,51
50-node ER1,50,1.0,4.0,20000,4,438878439,NOTEARS,ok,50,267.4172001001425,,2.0,1.0,0.98,49
50-node ER1,50,1.0,4.0,20000,4,438878439,PC,ok,50,5.216441800119355,,25.0,0.96,0.96,69
50-node ER1,50,1.0,4.0,20000,4,438878439,FGES,ok,50,7.076520700007677,,9.0,0.9259259259259259,1.0,61
50-node ER1,50,1.0,4.0,20000,4,438878439,cd_A,ok,50,402.8337974001188,,69.0,0.6530612244897959,0.64,49
50-node ER1,50,1.0,4.0,20000,4,438878439,cd_A_weakfaith,ok,50,350.7046713999007,,13.0,0.9787234042553191,0.92,47
50-node ER1,50,1.0,4.0,20000,5,433015235,CALM,ok,50,855.3545667999424,,2.0,0.9803921568627451,1.0,51
50-node ER1,50,1.0,4.0,20000,5,433015235,GOLEM-NV-l1,ok,50,56.615017799893394,,87.0,0.46,0.46,50
50-node ER1,50,1.0,4.0,20000,5,433015235,NOTEARS,ok,50,194.0295881999191,,0.0,1.0,1.0,50
50-node ER1,50,1.0,4.0,20000,5,433015235,PC,ok,50,4.378058699890971,,11.0,0.9803921568627451,1.0,66
50-node ER1,50,1.0,4.0,20000,5,433015235,FGES,ok,50,4.2995327999815345,,11.0,0.9803921568627451,1.0,66
50-node ER1,50,1.0,4.0,20000,5,433015235,cd_A,ok,50,347.7845362999942,,51.0,0.8292682926829268,0.68,41
50-node ER1,50,1.0,4.0,20000,5,433015235,cd_A_weakfaith,ok,50,363.07909139990807,,20.0,0.9555555555555556,0.86,45
50-node ER1,50,1.0,8.0,20000,1,858597919,CALM,ok,50,1187.5616864000913,,8.0,0.9433962264150944,1.0,53
50-node ER1,50,1.0,8.0,20000,1,858597919,GOLEM-NV-l1,ok,50,56.71027210005559,,85.0,0.48717948717948717,0.38,39
50-node ER1,50,1.0,8.0,20000,1,858597919,NOTEARS,ok,50,154.93279649992473,,33.0,0.8846153846153846,0.92,52
50-node ER1,50,1.0,8.0,20000,1,858597919,PC,ok,50,4.342576599912718,,10.0,1.0,0.98,67
50-node ER1,50,1.0,8.0,20000,1,858597919,FGES,ok,50,4.080615800106898,,11.0,0.9259259259259259,1.0,66
50-node ER1,50,1.0,8.0,20000,1,858597919,cd_A,ok,50,344.4008822001051,,54.0,0.8461538461538461,0.66,39
50-node ER1,50,1.0,8.0,20000,1,858597919,cd_A_weakfaith,ok,50,343.86980899982154,,20.0,1.0,0.84,42
50-node ER1,50,1.0,8.0,20000,2,201469535,CALM,ok,50,1004.4710045000538,,3.0,0.9615384615384616,1.0,52
50-node ER1,50,1.0,8.0,20000,2,201469535,GOLEM-NV-l1,ok,50,62.896387399872765,,104.0,0.2972972972972973,0.22,37
50-node ER1,50,1.0,8.0,20000,2,201469535,NOTEARS,ok,50,383.5977241001092,,21.0,0.8490566037735849,0.9,53
50-node ER1,50,1.0,8.0,20000,2,201469535,PC,ok,50,4.535140099935234,,28.0,1.0,0.94,61
50-node ER1,50,1.0,8.0,20000,2,201469535,FGES,ok,50,5.120888900011778,,32.0,0.8928571428571429,1.0,69
50-node ER1,50,1.0,8.0,20000,2,201469535,cd_A,ok,50,442.9366836999543,,70.0,0.625,0.6,48
50-node ER1,50,1.0,8.0,20000,2,201469535,cd_A_weakfaith,ok,50,382.6747760998551,,26.0,0.9148936170212766,0.86,47
50-node ER1,50,1.0,8.0,20000,3,94177347,CALM,ok,50,835.9504153998569,,21.0,0.847457627118644,1.0,59
50-node ER1,50,1.0,8.0,20000,3,94177347,GOLEM-NV-l1,ok,50,64.70650969981216,,124.0,0.38333333333333336,0.46,60
50-node ER1,50,1.0,8.0,20000,3,94177347,NOTEARS,ok,50,384.6585419001058,,36.0,0.7586206896551724,0.88,58
50-node ER1,50,1.0,8.0,20000,3,94177347,PC,ok,50,4.267195299966261,,5.0,0.9433962264150944,1.0,62
50-node ER1,50,1.0,8.0,20000,3,94177347,FGES,ok,50,4.431128599913791,,7.0,0.9259259259259259,1.0,62
50-node ER1,50,1.0,8.0,20000,3,94177347,cd_A,ok,50,362.34750499995425,,47.0,0.7450980392156863,0.76,51
50-node ER1,50,1.0,8.0,20000,3,94177347,cd_A_weakfaith,ok,50,376.4581325999461,,15.0,0.9591836734693877,0.94,49
50-node ER1,50,1.0,8.0,20000,4,526478978,CALM,ok,50,1157.45885429997,,14.0,0.8771929824561403,1.0,57
50-node ER1,50,1.0,8.0,20000,4,526478978,GOLEM-NV-l1,ok,50,60.4648188999854,,96.0,0.5405405405405406,0.4,37
50-node ER1,50,1.0,8.0,20000,4,526478978,NOTEARS,ok,50,159.69824360008352,,11.0,0.9230769230769231,0.96,52
50-node ER1,50,1.0,8.0,20000,4,526478978,PC,ok,50,4.702829800080508,,18.0,1.0,0.98,60
50-node ER1,50,1.0,8.0,20000,4,526478978,FGES,ok,50,4.360604899935424,,18.0,0.9259259259259259,1.0,63
50-node ER1,50,1.0,8.0,20000,4,526478978,cd_A,ok,50,354.6270730998367,,40.0,0.8863636363636364,0.78,44
50-node ER1,50,1.0,8.0,20000,4,526478978,cd_A_weakfaith,ok,50,340.9427559999749,,22.0,1.0,0.82,41
50-node ER1,50,1.0,8.0,20000,5,975622351,CALM,ok,50,814.1986618000083,,8.0,0.9607843137254902,0.98,51
50-node ER1,50,1.0,8.0,20000,5,975622351,GOLEM-NV-l1,ok,50,60.08380329981446,,94.0,0.36363636363636365,0.24,33
50-node ER1,50,1.0,8.0,20000,5,975622351,NOTEARS,ok,50,210.53110220003873,,16.0,0.9215686274509803,0.94,51
50-node ER1,50,1.0,8.0,20000,5,975622351,PC,ok,50,4.643592499895021,,5.0,1.0,0.98,57
50-node ER1,50,1.0,8.0,20000,5,975622351,FGES,ok,50,4.628384300041944,,9.0,0.9259259259259259,1.0,63
50-node ER1,50,1.0,8.0,20000,5,975622351,cd_A,ok,50,362.0638043000363,,69.0,0.6410256410256411,0.5,39
50-node ER1,50,1.0,8.0,20000,5,975622351,cd_A_weakfaith,ok,50,366.0157876999583,,20.0,0.9767441860465116,0.84,43
50-node ER1,50,1.0,16.0,20000,1,735752370,CALM,ok,50,1177.2167301001027,,19.0,0.875,0.98,56
50-node ER1,50,1.0,16.0,20000,1,735752370,GOLEM-NV-l1,ok,50,57.21283510001376,,102.0,0.44680851063829785,0.42,47
50-node ER1,50,1.0,16.0,20000,1,735752370,NOTEARS,ok,50,369.45823929994367,,28.0,0.8392857142857143,0.94,56
50-node ER1,50,1.0,16.0,20000,1,735752370,PC,ok,50,4.264059500070289,,29.0,0.9574468085106383,0.9,61
50-node ER1,50,1.0,16.0,20000,1,735752370,FGES,ok,50,4.309626300120726,,12.0,0.9615384615384616,1.0,63
50-node ER1,50,1.0,16.0,20000,1,735752370,cd_A,ok,50,351.37137870001607,,80.0,0.66,0.66,50
50-node ER1,50,1.0,16.0,20000,1,735752370,cd_A_weakfaith,ok,50,346.2741320999339,,24.0,0.9772727272727273,0.86,44
50-node ER1,50,1.0,16.0,20000,2,761139701,CALM,ok,50,1376.1977886999957,,20.0,0.8909090909090909,0.98,55
50-node ER1,50,1.0,16.0,20000,2,761139701,GOLEM-NV-l1,ok,50,59.67154489993118,,114.0,0.34782608695652173,0.32,46
50-node ER1,50,1.0,16.0,20000,2,761139701,NOTEARS,ok,50,353.05076280003414,,34.0,0.7894736842105263,0.9,57
