graph_label,algorithm,SHD of CPDAG,Precision of Skeleton,Recall of Skeleton,SHD
50-node ER1,CALM,11.4 ± 5.4,0.92 ± 0.04,0.98 ± 0.02,15.4 ± 4.1
50-node ER1,GOLEM-NV-l1,68.4 ± 6.8,0.48 ± 0.05,0.44 ± 0.06,71.2 ± 5.8
50-node ER1,NOTEARS,15.4 ± 5.0,0.87 ± 0.07,0.94 ± 0.02,13.4 ± 6.8
50-node ER1,PC,7.8 ± 4.6,0.99 ± 0.02,0.92 ± 0.03,-
50-node ER1,FGES,25.8 ± 10.0,0.76 ± 0.08,1.00 ± 0.00,-
50-node ER1,cd_A,39.8 ± 5.0,0.73 ± 0.05,0.64 ± 0.04,39.4 ± 4.0
50-node ER1,cd_A_weakfaith,19.8 ± 7.3,0.94 ± 0.04,0.79 ± 0.09,17.8 ± 6.9
50-node ER2,CALM,60.2 ± 8.9,0.76 ± 0.05,0.84 ± 0.05,58.4 ± 9.0
50-node ER2,GOLEM-NV-l1,141.4 ± 7.7,0.31 ± 0.03,0.21 ± 0.04,140.2 ± 6.4
50-node ER2,NOTEARS,39.8 ± 8.9,0.78 ± 0.06,0.91 ± 0.02,37.6 ± 10.9
50-node ER2,PC,69.4 ± 4.4,0.87 ± 0.03,0.52 ± 0.05,-
50-node ER2,FGES,85.0 ± 54.5,0.63 ± 0.16,0.96 ± 0.05,-
50-node ER2,cd_A,99.6 ± 16.4,0.56 ± 0.08,0.61 ± 0.08,98.0 ± 16.9
50-node ER2,cd_A_weakfaith,57.0 ± 15.8,0.83 ± 0.09,0.73 ± 0.09,52.6 ± 16.0
50-node ER4,CALM,157.0 ± 41.2,0.64 ± 0.07,0.66 ± 0.14,155.6 ± 41.8
50-node ER4,GOLEM-NV-l1,261.0 ± 13.2,0.31 ± 0.05,0.20 ± 0.07,259.2 ± 13.6
50-node ER4,NOTEARS,114.4 ± 9.8,0.68 ± 0.02,0.86 ± 0.04,114.0 ± 10.5
50-node ER4,PC,192.8 ± 7.1,0.72 ± 0.06,0.19 ± 0.03,-
50-node ER4,FGES,479.8 ± 43.8,0.31 ± 0.02,0.87 ± 0.04,-
50-node ER4,cd_A,431.4 ± 71.6,0.27 ± 0.05,0.58 ± 0.04,430.4 ± 72.2
50-node ER4,cd_A_weakfaith,196.6 ± 40.4,0.55 ± 0.10,0.61 ± 0.05,195.2 ± 40.8
