graph_label,algorithm,trials,cpdag_shd_mean,cpdag_shd_std,shd_mean,shd_std,sk_p_mean,sk_p_std,sk_r_mean,sk_r_std,n_edges_est_mean,n_edges_true_mean,runtime_sec_mean
50-node ER1,CALM,5,43.8,8.228000972289685,,,0.9660185185185185,0.034389766438074156,0.532,0.06418722614352484,27.6,50.0,141.3595652599819
50-node ER1,GOLEM-NV-l1,5,99.0,11.423659658795863,,,0.45426542437305895,0.0295828744955564,0.44800000000000006,0.030331501776206193,49.4,50.0,56.99980323994532
50-node ER1,NOTEARS,5,12.4,11.148990985734986,,,0.9270397904371851,0.04718740645268193,0.992,0.010954451150103333,53.6,50.0,524.2591147400439
50-node ER1,PC,5,10.4,6.3874877690685254,,,0.9881568627450982,0.01081244103796817,0.984,0.016733200530681527,65.0,50.0,4.259890980040654
50-node ER1,FGES,5,13.0,4.69041575982343,,,0.9475627960644608,0.02640025022825011,1.0,0.0,65.6,50.0,4.015124000050127
50-node ER1,cd_A,5,62.6,7.469939758793241,,,0.6913215026331035,0.02166860743774492,0.792,0.046043457732885346,57.4,50.0,68.28185620000586
50-node ER1,cd_A_weakfaith,5,15.4,7.436396977031283,,,0.95068654128318,0.022783938192725967,0.924,0.04774934554525326,48.6,50.0,65.57894721999764
50-node ER4,CALM,5,651.8,27.83343313355361,,,1.0,0.0,0.01,0.008660254037844387,2.0,200.0,211.07386735999026
50-node ER4,GOLEM-NV-l1,5,965.0,103.21337122679407,,,0.3322687993481611,0.039102263806720994,0.238,0.0658217289350561,141.2,200.0,54.33966716006398
50-node ER4,NOTEARS,5,495.6,292.4983760638681,,,0.7376605311990266,0.10751651339204406,0.8880000000000001,0.04452527372178639,243.8,200.0,5129.42169896001
50-node ER4,PC,5,660.2,29.8278393451487,,,0.6988647988647989,0.07720792477732669,0.22000000000000003,0.045000000000000005,82.0,200.0,3.48817722001113
50-node ER4,FGES,5,3309.8,573.265819668328,,,0.2462460492787791,0.037885141701875444,0.962,0.016046806535881232,797.2,200.0,29.22396443998441
50-node ER4,cd_A,5,5415.8,580.9481043948763,,,0.22904720591955371,0.01436066060502685,0.761,0.01673320053068154,667.0,200.0,99.96142348004506
50-node ER4,cd_A_weakfaith,5,1095.8,346.39529442531403,,,0.5809928421208195,0.10362503481037812,0.788,0.03327912258458746,276.6,200.0,66.74021201999858
