graph_label,d,calm_degree,n_samples,trial_id,data_seed,algorithm,status,n_edges_true,runtime_sec,message,cpdag_shd,sk_p,sk_r,n_edges_est
50-node ER4,50,4.0,20000,2,201469535,NOTEARS,ok,200,5229.04784520017,,255.0,0.8230088495575221,0.93,226
50-node ER4,50,4.0,20000,2,201469535,PC,ok,200,3.3865817999467254,,635.0,0.5714285714285714,0.18,74
50-node ER4,50,4.0,20000,2,201469535,FGES,ok,200,46.77454879996367,,2292.0,0.21316964285714285,0.955,898
50-node ER4,50,4.0,20000,2,201469535,cd_A,ok,200,101.04176179994829,,5703.0,0.22270114942528735,0.775,696
50-node ER4,50,4.0,20000,2,201469535,cd_A_weakfaith,ok,200,67.08560210000724,,1041.0,0.5971223021582733,0.83,278
50-node ER4,50,4.0,20000,3,94177347,CALM,ok,200,186.08954060007818,,667.0,1.0,0.005,1
50-node ER4,50,4.0,20000,3,94177347,GOLEM-NV-l1,ok,200,51.87123699998483,,1022.0,0.391812865497076,0.335,171
50-node ER4,50,4.0,20000,3,94177347,NOTEARS,ok,200,5297.9091550998855,,673.0,0.6653543307086615,0.845,254
50-node ER4,50,4.0,20000,3,94177347,PC,ok,200,3.631509599974379,,691.0,0.7142857142857143,0.175,84
50-node ER4,50,4.0,20000,3,94177347,FGES,ok,200,24.02440909994766,,3525.0,0.2369727047146402,0.955,807
50-node ER4,50,4.0,20000,3,94177347,cd_A,ok,200,106.62891030008905,,5149.0,0.2187938288920056,0.78,713
50-node ER4,50,4.0,20000,3,94177347,cd_A_weakfaith,ok,200,67.67113039991818,,1260.0,0.5,0.765,306
50-node ER4,50,4.0,20000,4,526478978,CALM,ok,200,183.14201209996827,,642.0,1.0,0.01,2
50-node ER4,50,4.0,20000,4,526478978,GOLEM-NV-l1,ok,200,52.64630430005491,,1014.0,0.33783783783783783,0.25,148
50-node ER4,50,4.0,20000,4,526478978,NOTEARS,ok,200,4984.847075900063,,926.0,0.583916083916084,0.835,286
50-node ER4,50,4.0,20000,4,526478978,PC,ok,200,3.485556600149721,,653.0,0.746031746031746,0.235,91
50-node ER4,50,4.0,20000,4,526478978,FGES,ok,200,28.84698100015521,,3601.0,0.23227383863080683,0.95,820
50-node ER4,50,4.0,20000,4,526478978,cd_A,ok,200,96.74489530012943,,5852.0,0.22320117474302498,0.76,681
50-node ER4,50,4.0,20000,4,526478978,cd_A_weakfaith,ok,200,67.01510399999097,,1266.0,0.5228758169934641,0.8,306
50-node ER4,50,4.0,20000,5,975622351,CALM,ok,200,183.4105248998385,,646.0,1.0,0.005,1
50-node ER4,50,4.0,20000,5,975622351,GOLEM-NV-l1,ok,200,52.02053980017081,,908.0,0.2992125984251969,0.19,127
50-node ER4,50,4.0,20000,5,975622351,NOTEARS,ok,200,4677.533790499903,,302.0,0.7982456140350878,0.91,228
50-node ER4,50,4.0,20000,5,975622351,PC,ok,200,3.486355399945751,,630.0,0.7702702702702703,0.285,81
50-node ER4,50,4.0,20000,5,975622351,FGES,ok,200,28.036906499881297,,3474.0,0.237125748502994,0.99,838
50-node ER4,50,4.0,20000,5,975622351,cd_A,ok,200,93.13144430005923,,4516.0,0.2542955326460481,0.74,582
50-node ER4,50,4.0,20000,5,975622351,cd_A_weakfaith,ok,200,62.65627979999408,,519.0,0.7547169811320755,0.8,212
