d,degree,trial_id,seed,shd,n_edges_true,n_edges_est,runtime_sec
20,1.0,1,89250953,5.0,12,17,3.7038656999357045
20,1.0,2,773956048,6.0,13,19,3.107497400138527
20,1.0,3,654571518,1.0,10,11,3.079308500047773
20,1.0,4,438878439,5.0,13,18,3.4568802998401225
20,1.0,5,433015235,1.0,3,4,3.094989300239831
20,2.0,1,858597919,3.0,8,11,3.1987392003647983
20,2.0,2,201469535,10.0,29,37,3.4141512997448444
20,2.0,3,94177347,8.0,17,25,2.9601691998541355
20,2.0,4,526478978,6.0,20,26,3.0977777000516653
20,2.0,5,975622351,4.0,19,23,3.1138304001651704
20,3.0,1,735752370,10.0,36,46,3.1593317999504507
20,3.0,2,761139701,7.0,26,33,3.317728000227362
20,3.0,3,717477276,6.0,33,39,3.0269089001230896
20,3.0,4,786064305,3.0,26,28,2.926289699971676
20,3.0,5,513226573,46.0,29,62,3.322292000055313
20,4.0,1,128113632,13.0,44,57,3.8064704998396337
20,4.0,2,839748229,5.0,32,37,3.537605100311339
20,4.0,3,450385937,40.0,39,69,3.882270900066942
20,4.0,4,500351915,3.0,41,44,3.818492299877107
20,4.0,5,370798024,13.0,44,54,4.091556299943477
30,1.0,1,182549636,5.0,10,16,5.468090699985623
30,1.0,2,926764988,6.0,11,17,5.52308680023998
30,1.0,3,781567455,5.0,22,27,5.548471699934453
30,1.0,4,643865119,1.0,11,12,5.425089800264686
30,1.0,5,402414364,6.0,16,22,5.410263299942017
30,2.0,1,822761613,7.0,29,36,5.365683200303465
30,2.0,2,545429118,11.0,27,38,5.415417999960482
30,2.0,3,443414198,11.0,37,48,5.618276100140065
30,2.0,4,450459553,10.0,31,40,5.3780912002548575
30,2.0,5,227238721,8.0,29,37,5.400956399738789
30,3.0,1,92135914,9.0,38,47,4.907515999861062
30,3.0,2,554584786,76.0,44,107,4.758562299888581
30,3.0,3,887889843,9.0,38,47,5.494157699868083
30,3.0,4,63817255,16.0,47,60,5.32690369989723
30,3.0,5,858291293,9.0,38,47,5.379966499749571
30,4.0,1,827631171,176.0,70,222,8.298965200316161
30,4.0,2,276759694,139.0,61,177,6.636270300019532
30,4.0,3,165229079,45.0,55,95,5.728397000115365
30,4.0,4,700522966,150.0,64,188,7.59982470003888
30,4.0,5,354525967,9.0,67,77,5.447759100235999
40,1.0,1,67920001,9.0,11,20,7.046200999990106
40,1.0,2,970698024,11.0,22,31,7.291985400021076
40,1.0,3,445687486,13.0,16,29,7.229687700048089
40,1.0,4,893121121,11.0,19,30,7.063174500130117
40,1.0,5,677919011,9.0,23,34,7.202115799766034
40,2.0,1,778383496,8.0,38,46,7.336230900138617
40,2.0,2,759899441,8.0,35,42,7.202550699934363
40,2.0,3,194638707,12.0,32,43,7.291411899961531
40,2.0,4,363906031,12.0,29,41,7.299124199897051
40,2.0,5,466721003,10.0,46,56,7.417424600105733
40,3.0,1,497791541,10.0,50,60,7.124145799782127
40,3.0,2,43803765,3.0,52,55,7.209004899952561
40,3.0,3,546569503,13.0,59,71,7.185459299944341
40,3.0,4,154289491,8.0,67,72,7.413732300046831
40,3.0,5,743375907,9.0,68,77,7.397596100345254
40,4.0,1,683048953,96.0,76,153,8.800021700095385
40,4.0,2,922527839,12.0,70,82,8.11043250001967
40,4.0,3,744762155,9.0,83,92,7.508523399941623
40,4.0,4,366642656,53.0,91,132,8.280860499944538
40,4.0,5,967509732,7.0,88,95,8.174488499760628
50,1.0,1,905535765,16.0,17,33,9.036662300117314
50,1.0,2,370459705,10.0,23,32,9.202450600452721
50,1.0,3,76343185,14.0,22,36,9.020855499897152
50,1.0,4,469555811,14.0,20,36,9.05354700004682
50,1.0,5,795679975,10.0,26,38,8.89229719992727
50,2.0,1,189471358,14.0,58,72,9.052623100113124
50,2.0,2,462940571,13.0,49,62,9.140111799817532
50,2.0,3,129921505,16.0,51,62,9.115592599846423
50,2.0,4,686478210,12.0,42,55,8.843662499915808
50,2.0,5,330196333,15.0,37,52,8.956636799965054
50,3.0,1,226909348,9.0,79,88,11.027280300389975
50,3.0,2,564499893,123.0,87,194,12.898710099980235
50,3.0,3,669813994,23.0,73,91,9.363186200149357
50,3.0,4,940306095,13.0,75,88,9.31642509996891
50,3.0,5,437151918,21.0,56,71,9.08017829991877
50,4.0,1,160688162,11.0,87,98,10.610226399730891
50,4.0,2,629764301,8.0,93,101,10.163759000133723
50,4.0,3,700265101,52.0,101,148,11.468867300078273
50,4.0,4,97226634,265.0,104,343,18.03907970013097
50,4.0,5,312366641,7.0,102,109,10.852469999808818
