graph_label,d,calm_degree,n_samples,trial_id,data_seed,algorithm,status,n_edges_true,runtime_sec,message,cpdag_shd,shd,sk_p,sk_r,n_edges_est
50-node ER1,50,1.0,1000,1,89250953,CALM,ok,50,1275.4422190000769,,17.0,15.0,0.9090909090909091,1.0,55
50-node ER1,50,1.0,1000,1,89250953,GOLEM-NV-l1,ok,50,25.469757999991998,,66.0,69.0,0.5106382978723404,0.48,47
50-node ER1,50,1.0,1000,1,89250953,NOTEARS,ok,50,32.58097740006633,,12.0,10.0,0.9215686274509803,0.94,51
50-node ER1,50,1.0,1000,1,89250953,PC,ok,50,1.0022100999485701,,13.0,,1.0,0.9,66
50-node ER1,50,1.0,1000,1,89250953,FGES,ok,50,1.4885056999046355,,41.0,,0.6493506493506493,1.0,85
50-node ER1,50,1.0,1000,1,89250953,cd_A,ok,50,352.86163539998233,,43.0,43.0,0.6808510638297872,0.64,47
50-node ER1,50,1.0,1000,1,89250953,cd_A_weakfaith,ok,50,356.06042980006896,,16.0,15.0,0.9767441860465116,0.84,43
50-node ER1,50,1.0,1000,2,773956048,CALM,ok,50,2050.0457277998794,,15.0,19.0,0.8620689655172413,1.0,58
50-node ER1,50,1.0,1000,2,773956048,GOLEM-NV-l1,ok,50,36.93208010005765,,62.0,64.0,0.5,0.34,34
50-node ER1,50,1.0,1000,2,773956048,NOTEARS,ok,50,21.512708300026134,,23.0,23.0,0.7833333333333333,0.94,60
50-node ER1,50,1.0,1000,2,773956048,PC,ok,50,0.5906852998305112,,6.0,,1.0,0.94,58
50-node ER1,50,1.0,1000,2,773956048,FGES,ok,50,0.9539699999149889,,24.0,,0.7352941176470589,1.0,75
50-node ER1,50,1.0,1000,2,773956048,cd_A,ok,50,299.4505531999748,,34.0,33.0,0.7894736842105263,0.6,38
50-node ER1,50,1.0,1000,2,773956048,cd_A_weakfaith,ok,50,294.34264150005765,,32.0,30.0,0.8648648648648649,0.64,37
50-node ER1,50,1.0,1000,3,654571518,CALM,ok,50,1188.0961964000016,,12.0,19.0,0.9230769230769231,0.96,52
50-node ER1,50,1.0,1000,3,654571518,GOLEM-NV-l1,ok,50,25.25567109999247,,66.0,71.0,0.5,0.48,48
50-node ER1,50,1.0,1000,3,654571518,NOTEARS,ok,50,43.165806100005284,,18.0,18.0,0.8214285714285714,0.92,56
50-node ER1,50,1.0,1000,3,654571518,PC,ok,50,0.584935300052166,,6.0,,0.9583333333333334,0.92,66
50-node ER1,50,1.0,1000,3,654571518,FGES,ok,50,0.8900991999544203,,26.0,,0.7936507936507936,1.0,73
50-node ER1,50,1.0,1000,3,654571518,cd_A,ok,50,324.1173646999523,,35.0,38.0,0.7560975609756098,0.62,41
50-node ER1,50,1.0,1000,3,654571518,cd_A_weakfaith,ok,50,326.6146327999886,,15.0,13.0,0.9555555555555556,0.86,45
50-node ER1,50,1.0,1000,4,438878439,CALM,ok,50,1052.6602575001307,,10.0,15.0,0.9411764705882353,0.96,51
50-node ER1,50,1.0,1000,4,438878439,GOLEM-NV-l1,ok,50,25.96876939991489,,80.0,80.0,0.39622641509433965,0.42,53
50-node ER1,50,1.0,1000,4,438878439,NOTEARS,ok,50,34.78975489991717,,13.0,8.0,0.94,0.94,50
50-node ER1,50,1.0,1000,4,438878439,PC,ok,50,1.0432237000204623,,12.0,,0.9782608695652174,0.9,64
50-node ER1,50,1.0,1000,4,438878439,FGES,ok,50,0.9903090000152588,,13.0,,0.8620689655172413,1.0,66
50-node ER1,50,1.0,1000,4,438878439,cd_A,ok,50,376.6412950998638,,45.0,41.0,0.66,0.66,50
