trial_id,seed,algorithm,d,n_samples,degree,noise_type,lambda_l0,threshold,T,runtime_sec,score,score_true_A,score_gap_true,mec_match,shd,n_edges_true,n_edges_est,history_len,monotone_increases
single,41,cd_A_noepoch,10,50000,2.0,gaussian_nv,0.1,0.05,15000,5.30165549996309,17.14419257858012,18.31123273580912,-1.1670401572289997,0,2,10,10,15000,3
single,41,greedy_pair,10,50000,2.0,gaussian_nv,0.1,0.05,15000,3.598701599985361,17.475517075581916,18.31123273580912,-0.8357156602272049,0,13,10,13,1860,0
