mec_match,exact_match,cpdag_shd,n_edges_true,n_edges_est,trial,seed,algorithm,objective,runtime_sec,epochs_used
0,0,5.0,6,3,6,858597919,cd_BOmega_l0_0.1,8.949709610918116,1.3166122999973595,149.0
0,0,1.0,6,7,6,858597919,cd_A_l0_0.2,29.660561485576856,5.386066999984905,500.0
0,0,6.0,6,2,6,858597919,cd_B_l0_0.2,12.359468355934117,1.2521033000084572,149.0
0,0,5.0,6,3,6,858597919,cd_BOmega_l0_0.2,8.949709610918116,1.40685339999618,149.0
0,0,8.0,6,6,6,858597919,golem_nv,,29.643635800050106,
0,0,7.0,6,5,6,858597919,sp,,0.022855499992147088,
1,0,0.0,6,9,6,858597919,ges,,0.1246456999797374,
0,0,4.0,5,7,7,201469535,cd_A_l0_0.0,9.854141425838712,1.7860023999819532,196.0
0,0,9.0,5,9,7,201469535,cd_B_l0_0.0,4.840786708363652,2.594057900016196,366.0
0,0,4.0,5,7,7,201469535,cd_BOmega_l0_0.0,4.890290934309739,1.367336300027091,169.0
0,0,7.0,5,6,7,201469535,cd_B_l0_0.1,5.366114773643448,1.2238543000421487,149.0
0,0,2.0,5,5,7,201469535,cd_BOmega_l0_0.1,5.032350404742204,1.169395400036592,154.0
0,0,7.0,5,6,7,201469535,cd_B_l0_0.2,5.366114773643448,1.1738484000088647,149.0
0,0,2.0,5,5,7,201469535,cd_BOmega_l0_0.2,5.032350404742204,1.2416536000091583,149.0
0,0,5.0,5,9,7,201469535,golem_ev,,29.688526600017212,
0,0,8.0,5,8,7,201469535,golem_nv,,28.398636500001885,
1,0,0.0,5,6,7,201469535,ges,,0.12787379999645054,
0,0,6.0,7,5,8,94177347,cd_A_l0_0.0,13.569633391431294,4.818194699997548,500.0
0,0,4.0,7,5,8,94177347,cd_B_l0_0.0,4.480972879758607,3.6068833000026643,500.0
0,0,4.0,7,5,8,94177347,cd_BOmega_l0_0.0,4.742563569294736,3.472256999986712,480.0
0,0,6.0,7,3,8,94177347,cd_A_l0_0.1,18.87094681377536,1.362330700038001,149.0
0,0,6.0,7,3,8,94177347,cd_B_l0_0.1,9.621961008098728,1.1894727000035346,149.0
0,0,6.0,7,3,8,94177347,cd_BOmega_l0_0.1,7.3109805040198275,1.228205599996727,149.0
0,0,6.0,7,3,8,94177347,cd_A_l0_0.2,18.87212690790851,1.3593044999870472,149.0
0,0,6.0,7,3,8,94177347,cd_B_l0_0.2,9.621961008098728,1.1037542999838479,149.0
0,0,6.0,7,3,8,94177347,cd_BOmega_l0_0.2,7.3109805040198275,1.2366174000198953,149.0
0,0,4.0,7,10,8,94177347,golem_ev,,27.234203600033652,
0,0,7.0,7,7,8,94177347,golem_nv,,22.075332900043577,
0,0,7.0,7,6,8,94177347,sp,,0.027338799962308258,
0,0,0.0,7,11,8,94177347,ges,,0.1730031999759376,
0,0,3.0,2,4,9,526478978,cd_B_l0_0.0,4.518439554344322,0.9873377000330947,149.0
0,0,2.0,2,3,9,526478978,cd_BOmega_l0_0.0,4.759219759046948,1.4677776000462472,149.0
1,0,0.0,2,2,9,526478978,golem_nv,,22.420961800031364,
1,0,0.0,2,2,9,526478978,sp,,0.018407799943815917,
1,0,0.0,2,4,9,526478978,ges,,0.05498810001881793,
0,0,3.0,3,5,10,975622351,cd_A_l0_0.0,9.065944084925508,3.1697003999724984,348.0
0,0,2.0,3,4,10,975622351,cd_B_l0_0.0,3.6550669346192297,1.5357483999687247,235.0
0,0,3.0,3,5,10,975622351,cd_BOmega_l0_0.0,4.341006901583695,1.7176092999870889,207.0
0,0,3.0,3,5,10,975622351,cd_A_l0_0.1,9.067063158116692,3.1425605000113137,348.0
0,0,4.0,3,4,10,975622351,golem_ev,,24.201773800014053,
0,0,2.0,3,4,10,975622351,golem_nv,,19.372755900025368,
0,0,4.0,3,3,10,975622351,sp,,0.019572399964090437,
0,0,4.0,8,6,11,735752370,cd_B_l0_0.1,7.500179810054036,1.0395623000222258,149.0
0,0,4.0,8,6,11,735752370,cd_BOmega_l0_0.1,6.250089905026089,1.0930632000090554,149.0
0,0,4.0,8,6,11,735752370,cd_B_l0_0.2,7.500179810054036,1.0630795999895781,149.0
