mec_match,exact_match,cpdag_shd,n_edges_true,n_edges_est,trial,seed,algorithm,objective,runtime_sec,epochs_used
0,0,2.0,2,2,5,433015235,cd_A_l0_0.2,9.622476152805877,1.6458867999899667,149.0
0,0,2.0,2,2,5,433015235,cd_B_l0_0.2,4.621669301409245,1.2932753000059165,149.0
0,0,2.0,2,2,5,433015235,cd_BOmega_l0_0.2,4.810834650703589,1.2987112999835517,149.0
0,0,1.0,2,3,5,433015235,golem_ev,,24.371481699985452,
0,0,1.0,2,3,5,433015235,golem_nv,,19.46987810000428,
1,0,0.0,2,2,5,433015235,sp,,0.020438000006834045,
0,0,0.0,2,4,5,433015235,ges,,0.04990900002303533,
1,1,0.0,1,1,6,858597919,cd_A_l0_0.0,10.45230707721836,1.4000896000070497,149.0
0,0,1.0,1,2,6,858597919,cd_B_l0_0.0,5.451740387941738,0.9377744999947026,149.0
1,1,0.0,1,1,6,858597919,cd_BOmega_l0_0.0,5.2258701939548,1.1795698999776505,149.0
1,1,0.0,1,1,6,858597919,cd_A_l0_0.1,10.453197251358091,1.4009031000023242,149.0
1,1,0.0,1,1,6,858597919,cd_B_l0_0.1,5.45263116479103,1.0625027999922168,149.0
1,1,0.0,1,1,6,858597919,cd_BOmega_l0_0.1,5.226315582394629,1.2116504000150599,149.0
1,1,0.0,1,1,6,858597919,cd_A_l0_0.2,10.45320055136993,1.4361407999822404,149.0
1,1,0.0,1,1,6,858597919,cd_B_l0_0.2,5.45263116479103,1.108490199985681,149.0
1,1,0.0,1,1,6,858597919,cd_BOmega_l0_0.2,5.226315582394629,1.2352895000076387,149.0
1,1,0.0,1,1,6,858597919,golem_ev,,22.961740899976576,
1,0,0.0,1,1,6,858597919,golem_nv,,19.400265800009947,
1,0,0.0,1,1,6,858597919,sp,,0.01832169998669997,
1,0,0.0,1,2,6,858597919,ges,,0.029795700014801696,
1,1,0.0,2,2,7,201469535,cd_A_l0_0.0,9.779045843808706,1.3422829000046477,149.0
