d,algorithm,score_start_mean,score_end_mean,score_delta_mean,score_rel_change_mean
10,golem,65.33894348144531,44.21534729003906,-21.12359619140625,-0.323292588858657
20,golem,128.2918701171875,87.43126678466797,-40.86060333251953,-0.31849721494585215
30,golem,205.2717742919922,166.9534149169922,-38.318359375,-0.1866713507356995
