d,algorithm,score_start_mean,score_end_mean,score_delta_mean,score_rel_change_mean
10,cd_A,1587345.313244012,4056.1396174727583,-1583289.1736265393,-0.9974447024326526
20,cd_A,203343.05506983242,269.5271744008469,-203073.5278954316,-0.998674519892955
30,cd_A,1306952923.861331,43004.94107151361,-1306909918.9202595,-0.9999670952638872
