d,trial_id,seed,algorithm,status,runtime_sec,mec_match,cpdag_shd,score_start,score_end,score_delta,score_rel_change,message
10,1,89250953,golem,ok,28.198890500003472,0.0,10.0,65.33894348144531,44.21534729003906,-21.12359619140625,-0.323292588858657,
20,1,773956048,golem,ok,34.52485410007648,0.0,72.0,128.2918701171875,87.43126678466797,-40.86060333251953,-0.31849721494585215,
30,1,654571518,golem,ok,55.693477200111374,0.0,158.0,205.2717742919922,166.9534149169922,-38.318359375,-0.1866713507356995,
