d,algorithm,n_total,n_ok,mec_match_mean,cpdag_shd_mean,runtime_sec_mean,status_counts
10,golem,1,1,0.0,10.0,28.198890500003472,{'ok': 1}
20,golem,1,1,0.0,72.0,34.52485410007648,{'ok': 1}
30,golem,1,1,0.0,158.0,55.693477200111374,{'ok': 1}
