d,trial_id,seed,algorithm,status,runtime_sec,mec_match,cpdag_shd,score_start,score_end,score_delta,score_rel_change,message
10,1,89250953,cd_A,ok,10.576357699930668,0.0,15.0,1587345.313244012,4056.1396174727583,-1583289.1736265393,-0.9974447024326526,
20,1,773956048,cd_A,ok,29.273471999913454,0.0,62.0,203343.05506983242,269.5271744008469,-203073.5278954316,-0.998674519892955,
30,1,654571518,cd_A,ok,99.18248560000211,0.0,140.0,1306952923.861331,43004.94107151361,-1306909918.9202595,-0.9999670952638872,
