d,algorithm,n_total,n_ok,mec_match_mean,cpdag_shd_mean,runtime_sec_mean,status_counts
10,ges,1,1,0.0,3.0,2.5121828999836,{'ok': 1}
20,ges,1,1,0.0,0.0,27.442997500067577,{'ok': 1}
30,ges,1,1,0.0,13.0,137.28817970003,{'ok': 1}
