experiment_id,experiment,algorithm,mec_match_mean,exact_match_mean,cpdag_shd_mean,cpdag_shd_std,runtime_sec_mean,runs
5,"d=4, A→C, A→D, B→C, B→D",ges,1.0,1.0,0.0,,0.06392870000127004,1.0
5,"d=4, A→C, A→D, B→C, B→D",golem_ev,,,,,,
5,"d=4, A→C, A→D, B→C, B→D",golem_nv,,,,,,
5,"d=4, A→C, A→D, B→C, B→D",sp,1.0,1.0,0.0,,0.00421220000134781,1.0
6,"d=4, A→D, B→D, C→D",cd_A_l0_0.0,1.0,1.0,0.0,,0.7715706000017235,1.0
6,"d=4, A→D, B→D, C→D",cd_A_l0_0.1,1.0,1.0,0.0,,0.8966453000030015,1.0
6,"d=4, A→D, B→D, C→D",cd_A_l0_0.2,1.0,1.0,0.0,,0.8686287999989872,1.0
6,"d=4, A→D, B→D, C→D",cd_BOmega_l0_0.0,1.0,1.0,0.0,,0.6829089999991993,1.0
6,"d=4, A→D, B→D, C→D",cd_BOmega_l0_0.1,1.0,1.0,0.0,,0.7751231999973243,1.0
6,"d=4, A→D, B→D, C→D",cd_BOmega_l0_0.2,1.0,1.0,0.0,,0.7909472999999707,1.0
6,"d=4, A→D, B→D, C→D",cd_B_l0_0.0,1.0,1.0,0.0,,0.5125986999992165,1.0
6,"d=4, A→D, B→D, C→D",cd_B_l0_0.1,1.0,1.0,0.0,,0.708207499999844,1.0
6,"d=4, A→D, B→D, C→D",cd_B_l0_0.2,1.0,1.0,0.0,,0.7070918999997957,1.0
6,"d=4, A→D, B→D, C→D",ges,1.0,1.0,0.0,,0.04608819999702973,1.0
6,"d=4, A→D, B→D, C→D",golem_ev,,,,,,
6,"d=4, A→D, B→D, C→D",golem_nv,,,,,,
6,"d=4, A→D, B→D, C→D",sp,1.0,1.0,0.0,,0.005061700001533609,1.0
7,"d=5, e=4, |v|=0",cd_A_l0_0.0,0.0,0.0,1.0,,1.408009700000548,1.0
7,"d=5, e=4, |v|=0",cd_A_l0_0.1,0.0,0.0,2.0,,1.4038577999999688,1.0
7,"d=5, e=4, |v|=0",cd_A_l0_0.2,0.0,0.0,2.0,,1.435667800000374,1.0
7,"d=5, e=4, |v|=0",cd_BOmega_l0_0.0,0.0,0.0,1.0,,1.3250331999988703,1.0
7,"d=5, e=4, |v|=0",cd_BOmega_l0_0.1,0.0,0.0,2.0,,1.3051865000015823,1.0
7,"d=5, e=4, |v|=0",cd_BOmega_l0_0.2,1.0,1.0,0.0,,1.3581900000026508,1.0
7,"d=5, e=4, |v|=0",cd_B_l0_0.0,0.0,0.0,1.0,,1.1015409999999974,1.0
7,"d=5, e=4, |v|=0",cd_B_l0_0.1,0.0,0.0,2.0,,1.20785160000014,1.0
7,"d=5, e=4, |v|=0",cd_B_l0_0.2,0.0,0.0,2.0,,1.1513831000011123,1.0
7,"d=5, e=4, |v|=0",ges,0.0,0.0,0.0,,0.13852840000254218,1.0
7,"d=5, e=4, |v|=0",golem_ev,,,,,,
7,"d=5, e=4, |v|=0",golem_nv,,,,,,
7,"d=5, e=4, |v|=0",sp,0.0,0.0,2.0,,0.020281299999624025,1.0
8,"d=5, e=4, |v|=1",cd_A_l0_0.0,1.0,1.0,0.0,,1.389779400000407,1.0
8,"d=5, e=4, |v|=1",cd_A_l0_0.1,1.0,1.0,0.0,,1.552356599997438,1.0
8,"d=5, e=4, |v|=1",cd_A_l0_0.2,1.0,1.0,0.0,,1.640747100002045,1.0
8,"d=5, e=4, |v|=1",cd_BOmega_l0_0.0,1.0,1.0,0.0,,1.2549736000000848,1.0
8,"d=5, e=4, |v|=1",cd_BOmega_l0_0.1,1.0,1.0,0.0,,1.5361931000006734,1.0
8,"d=5, e=4, |v|=1",cd_BOmega_l0_0.2,0.0,0.0,1.0,,1.4001557000010507,1.0
8,"d=5, e=4, |v|=1",cd_B_l0_0.0,1.0,0.0,0.0,,1.128924200002075,1.0
8,"d=5, e=4, |v|=1",cd_B_l0_0.1,1.0,1.0,0.0,,1.1283361999994668,1.0
8,"d=5, e=4, |v|=1",cd_B_l0_0.2,1.0,1.0,0.0,,1.2616385000001173,1.0
8,"d=5, e=4, |v|=1",ges,1.0,0.0,0.0,,0.11452289999942877,1.0
8,"d=5, e=4, |v|=1",golem_ev,,,,,,
8,"d=5, e=4, |v|=1",golem_nv,,,,,,
8,"d=5, e=4, |v|=1",sp,1.0,0.0,0.0,,0.020989699998608558,1.0
9,"d=5, e=4, |v|=2",cd_A_l0_0.0,1.0,1.0,0.0,,1.3606619000020146,1.0
9,"d=5, e=4, |v|=2",cd_A_l0_0.1,1.0,1.0,0.0,,1.7261299999991024,1.0
9,"d=5, e=4, |v|=2",cd_A_l0_0.2,1.0,1.0,0.0,,1.5273883000008937,1.0
9,"d=5, e=4, |v|=2",cd_BOmega_l0_0.0,1.0,1.0,0.0,,1.305908400001499,1.0
9,"d=5, e=4, |v|=2",cd_BOmega_l0_0.1,1.0,1.0,0.0,,1.3489245000018855,1.0
9,"d=5, e=4, |v|=2",cd_BOmega_l0_0.2,1.0,1.0,0.0,,1.3677860999996483,1.0
9,"d=5, e=4, |v|=2",cd_B_l0_0.0,1.0,1.0,0.0,,1.0798202000005404,1.0
9,"d=5, e=4, |v|=2",cd_B_l0_0.1,1.0,1.0,0.0,,1.200840400000743,1.0
9,"d=5, e=4, |v|=2",cd_B_l0_0.2,1.0,1.0,0.0,,1.2387311999991653,1.0
9,"d=5, e=4, |v|=2",ges,1.0,1.0,0.0,,0.09598550000009709,1.0
9,"d=5, e=4, |v|=2",golem_ev,,,,,,
9,"d=5, e=4, |v|=2",golem_nv,,,,,,
9,"d=5, e=4, |v|=2",sp,1.0,1.0,0.0,,0.020372900002257666,1.0
