experiment_id,experiment,repeat_id,seed,algorithm,mec_match,exact_match,cpdag_shd,runtime_sec
5,"d=4, A→C, A→D, B→C, B→D",1,433015235,sp,1,1,0.0,0.00421220000134781
5,"d=4, A→C, A→D, B→C, B→D",1,433015235,ges,1,1,0.0,0.06392870000127004
6,"d=4, A→D, B→D, C→D",1,858597919,cd_A_l0_0.0,1,1,0.0,0.7715706000017235
6,"d=4, A→D, B→D, C→D",1,858597919,cd_B_l0_0.0,1,1,0.0,0.5125986999992165
6,"d=4, A→D, B→D, C→D",1,858597919,cd_BOmega_l0_0.0,1,1,0.0,0.6829089999991993
6,"d=4, A→D, B→D, C→D",1,858597919,cd_A_l0_0.1,1,1,0.0,0.8966453000030015
6,"d=4, A→D, B→D, C→D",1,858597919,cd_B_l0_0.1,1,1,0.0,0.708207499999844
6,"d=4, A→D, B→D, C→D",1,858597919,cd_BOmega_l0_0.1,1,1,0.0,0.7751231999973243
6,"d=4, A→D, B→D, C→D",1,858597919,cd_A_l0_0.2,1,1,0.0,0.8686287999989872
6,"d=4, A→D, B→D, C→D",1,858597919,cd_B_l0_0.2,1,1,0.0,0.7070918999997957
6,"d=4, A→D, B→D, C→D",1,858597919,cd_BOmega_l0_0.2,1,1,0.0,0.7909472999999707
6,"d=4, A→D, B→D, C→D",1,858597919,sp,1,1,0.0,0.005061700001533609
6,"d=4, A→D, B→D, C→D",1,858597919,ges,1,1,0.0,0.04608819999702973
7,"d=5, e=4, |v|=0",1,201469535,cd_A_l0_0.0,0,0,1.0,1.408009700000548
7,"d=5, e=4, |v|=0",1,201469535,cd_B_l0_0.0,0,0,1.0,1.1015409999999974
7,"d=5, e=4, |v|=0",1,201469535,cd_BOmega_l0_0.0,0,0,1.0,1.3250331999988703
7,"d=5, e=4, |v|=0",1,201469535,cd_A_l0_0.1,0,0,2.0,1.4038577999999688
7,"d=5, e=4, |v|=0",1,201469535,cd_B_l0_0.1,0,0,2.0,1.20785160000014
7,"d=5, e=4, |v|=0",1,201469535,cd_BOmega_l0_0.1,0,0,2.0,1.3051865000015823
7,"d=5, e=4, |v|=0",1,201469535,cd_A_l0_0.2,0,0,2.0,1.435667800000374
7,"d=5, e=4, |v|=0",1,201469535,cd_B_l0_0.2,0,0,2.0,1.1513831000011123
7,"d=5, e=4, |v|=0",1,201469535,cd_BOmega_l0_0.2,1,1,0.0,1.3581900000026508
7,"d=5, e=4, |v|=0",1,201469535,sp,0,0,2.0,0.020281299999624025
7,"d=5, e=4, |v|=0",1,201469535,ges,0,0,0.0,0.13852840000254218
8,"d=5, e=4, |v|=1",1,94177347,cd_A_l0_0.0,1,1,0.0,1.389779400000407
8,"d=5, e=4, |v|=1",1,94177347,cd_B_l0_0.0,1,0,0.0,1.128924200002075
8,"d=5, e=4, |v|=1",1,94177347,cd_BOmega_l0_0.0,1,1,0.0,1.2549736000000848
8,"d=5, e=4, |v|=1",1,94177347,cd_A_l0_0.1,1,1,0.0,1.552356599997438
8,"d=5, e=4, |v|=1",1,94177347,cd_B_l0_0.1,1,1,0.0,1.1283361999994668
8,"d=5, e=4, |v|=1",1,94177347,cd_BOmega_l0_0.1,1,1,0.0,1.5361931000006734
8,"d=5, e=4, |v|=1",1,94177347,cd_A_l0_0.2,1,1,0.0,1.640747100002045
8,"d=5, e=4, |v|=1",1,94177347,cd_B_l0_0.2,1,1,0.0,1.2616385000001173
8,"d=5, e=4, |v|=1",1,94177347,cd_BOmega_l0_0.2,0,0,1.0,1.4001557000010507
8,"d=5, e=4, |v|=1",1,94177347,sp,1,0,0.0,0.020989699998608558
8,"d=5, e=4, |v|=1",1,94177347,ges,1,0,0.0,0.11452289999942877
9,"d=5, e=4, |v|=2",1,526478978,cd_A_l0_0.0,1,1,0.0,1.3606619000020146
9,"d=5, e=4, |v|=2",1,526478978,cd_B_l0_0.0,1,1,0.0,1.0798202000005404
9,"d=5, e=4, |v|=2",1,526478978,cd_BOmega_l0_0.0,1,1,0.0,1.305908400001499
9,"d=5, e=4, |v|=2",1,526478978,cd_A_l0_0.1,1,1,0.0,1.7261299999991024
9,"d=5, e=4, |v|=2",1,526478978,cd_B_l0_0.1,1,1,0.0,1.200840400000743
9,"d=5, e=4, |v|=2",1,526478978,cd_BOmega_l0_0.1,1,1,0.0,1.3489245000018855
9,"d=5, e=4, |v|=2",1,526478978,cd_A_l0_0.2,1,1,0.0,1.5273883000008937
9,"d=5, e=4, |v|=2",1,526478978,cd_B_l0_0.2,1,1,0.0,1.2387311999991653
9,"d=5, e=4, |v|=2",1,526478978,cd_BOmega_l0_0.2,1,1,0.0,1.3677860999996483
9,"d=5, e=4, |v|=2",1,526478978,sp,1,1,0.0,0.020372900002257666
9,"d=5, e=4, |v|=2",1,526478978,ges,1,1,0.0,0.09598550000009709
