experiment_id,experiment,algorithm,mec_match_mean,exact_match_mean,cpdag_shd_mean,cpdag_shd_std,runtime_sec_mean,runs
5,"d=4, A→C, A→D, B→C, B→D",ges,1.0,1.0,0.0,,0.056153299985453486,1.0
5,"d=4, A→C, A→D, B→C, B→D",golem_ev,,,,,,
5,"d=4, A→C, A→D, B→C, B→D",golem_nv,,,,,,
5,"d=4, A→C, A→D, B→C, B→D",sp,1.0,1.0,0.0,,0.004724300000816584,1.0
6,"d=4, A→D, B→D, C→D",cd_A_l0_0.0,1.0,1.0,0.0,,0.7648291999939829,1.0
6,"d=4, A→D, B→D, C→D",cd_A_l0_0.1,1.0,1.0,0.0,,0.940651600016281,1.0
6,"d=4, A→D, B→D, C→D",cd_A_l0_0.2,1.0,1.0,0.0,,0.9763376000337303,1.0
6,"d=4, A→D, B→D, C→D",cd_BOmega_l0_0.0,1.0,1.0,0.0,,0.6369889000197873,1.0
6,"d=4, A→D, B→D, C→D",cd_BOmega_l0_0.1,1.0,1.0,0.0,,0.8477826999733225,1.0
6,"d=4, A→D, B→D, C→D",cd_BOmega_l0_0.2,1.0,1.0,0.0,,0.7550207999884151,1.0
6,"d=4, A→D, B→D, C→D",cd_B_l0_0.0,1.0,1.0,0.0,,0.6242532999604009,1.0
6,"d=4, A→D, B→D, C→D",cd_B_l0_0.1,1.0,1.0,0.0,,0.7627608000184409,1.0
6,"d=4, A→D, B→D, C→D",cd_B_l0_0.2,1.0,1.0,0.0,,0.7198379000183195,1.0
6,"d=4, A→D, B→D, C→D",ges,1.0,1.0,0.0,,0.03360020002583042,1.0
6,"d=4, A→D, B→D, C→D",golem_ev,,,,,,
6,"d=4, A→D, B→D, C→D",golem_nv,,,,,,
6,"d=4, A→D, B→D, C→D",sp,1.0,1.0,0.0,,0.007302599959075451,1.0
7,"d=5, e=4, |v|=0",cd_A_l0_0.0,0.0,0.0,1.0,,1.441654100024607,1.0
7,"d=5, e=4, |v|=0",cd_A_l0_0.1,0.0,0.0,2.0,,1.9011181999812834,1.0
7,"d=5, e=4, |v|=0",cd_A_l0_0.2,0.0,0.0,2.0,,1.7862632000469603,1.0
7,"d=5, e=4, |v|=0",cd_BOmega_l0_0.0,0.0,0.0,1.0,,1.1532128999824636,1.0
7,"d=5, e=4, |v|=0",cd_BOmega_l0_0.1,0.0,0.0,2.0,,1.09516770002665,1.0
7,"d=5, e=4, |v|=0",cd_BOmega_l0_0.2,1.0,1.0,0.0,,1.7659182000206783,1.0
7,"d=5, e=4, |v|=0",cd_B_l0_0.0,0.0,0.0,1.0,,1.0502811999758705,1.0
7,"d=5, e=4, |v|=0",cd_B_l0_0.1,0.0,0.0,2.0,,1.0731615999829955,1.0
7,"d=5, e=4, |v|=0",cd_B_l0_0.2,0.0,0.0,2.0,,1.1842010000254959,1.0
7,"d=5, e=4, |v|=0",ges,0.0,0.0,0.0,,0.10654410003917292,1.0
7,"d=5, e=4, |v|=0",golem_ev,,,,,,
7,"d=5, e=4, |v|=0",golem_nv,,,,,,
7,"d=5, e=4, |v|=0",sp,0.0,0.0,2.0,,0.018129300035070628,1.0
8,"d=5, e=4, |v|=1",cd_A_l0_0.0,1.0,1.0,0.0,,1.2816794000100344,1.0
8,"d=5, e=4, |v|=1",cd_A_l0_0.1,1.0,1.0,0.0,,1.4280426999903284,1.0
8,"d=5, e=4, |v|=1",cd_A_l0_0.2,1.0,1.0,0.0,,1.3895546999992803,1.0
8,"d=5, e=4, |v|=1",cd_BOmega_l0_0.0,1.0,1.0,0.0,,1.4208510000025854,1.0
8,"d=5, e=4, |v|=1",cd_BOmega_l0_0.1,1.0,1.0,0.0,,1.303140500036534,1.0
8,"d=5, e=4, |v|=1",cd_BOmega_l0_0.2,0.0,0.0,1.0,,1.2475192000274546,1.0
8,"d=5, e=4, |v|=1",cd_B_l0_0.0,1.0,0.0,0.0,,0.9646973999915645,1.0
8,"d=5, e=4, |v|=1",cd_B_l0_0.1,1.0,1.0,0.0,,1.2046475000097416,1.0
8,"d=5, e=4, |v|=1",cd_B_l0_0.2,1.0,1.0,0.0,,1.0801761000184342,1.0
8,"d=5, e=4, |v|=1",ges,1.0,0.0,0.0,,0.08782630000496283,1.0
8,"d=5, e=4, |v|=1",golem_ev,,,,,,
8,"d=5, e=4, |v|=1",golem_nv,,,,,,
8,"d=5, e=4, |v|=1",sp,1.0,0.0,0.0,,0.02767639997182414,1.0
9,"d=5, e=4, |v|=2",cd_A_l0_0.0,1.0,1.0,0.0,,1.6356014999910258,1.0
9,"d=5, e=4, |v|=2",cd_A_l0_0.1,1.0,1.0,0.0,,1.8192013000370935,1.0
9,"d=5, e=4, |v|=2",cd_A_l0_0.2,1.0,1.0,0.0,,1.4973365999758244,1.0
9,"d=5, e=4, |v|=2",cd_BOmega_l0_0.0,1.0,1.0,0.0,,1.1076661000261083,1.0
9,"d=5, e=4, |v|=2",cd_BOmega_l0_0.1,1.0,1.0,0.0,,1.254894899961073,1.0
9,"d=5, e=4, |v|=2",cd_BOmega_l0_0.2,1.0,1.0,0.0,,1.3507284999941476,1.0
9,"d=5, e=4, |v|=2",cd_B_l0_0.0,1.0,1.0,0.0,,0.9663540999754332,1.0
9,"d=5, e=4, |v|=2",cd_B_l0_0.1,1.0,1.0,0.0,,1.1779268000391312,1.0
9,"d=5, e=4, |v|=2",cd_B_l0_0.2,1.0,1.0,0.0,,1.1554963999660686,1.0
9,"d=5, e=4, |v|=2",ges,1.0,1.0,0.0,,0.07387279998511076,1.0
9,"d=5, e=4, |v|=2",golem_ev,,,,,,
9,"d=5, e=4, |v|=2",golem_nv,,,,,,
9,"d=5, e=4, |v|=2",sp,1.0,1.0,0.0,,0.02126420004060492,1.0
